full_name,a,e,i,om,w,ma,H,epoch_cal,epoch_mjd
"       (1979 XB)",2.228139446564493,.7084572219505028,24.73433191482803,86.05548731492976,75.57980383566122,346.3189367247112,18.6,19791214.0000000,44221
"       (1982 YA)",3.649734602632851,.6912392262654175,35.11923418554703,268.9697924777976,144.4101500967929,85.25477155439239,18.1,20190427.0000000,58600
"       (1983 LC)",2.601522955340557,.7146890574362795,1.562164728852899,159.6980081112194,184.8548334121591,161.0877342457857,19.3,20190427.0000000,58600
"       (1986 NA)",1.932807661001782,.4020401020124981,9.45583569236765,243.1500646615775,37.5567359114132,76.52850389287238,19.8,20190427.0000000,58600
"       (1988 NE)",2.247805986228316,.4425295530238432,9.638215201033733,251.5162982013501,3.571987447503919,61.72754384056425,19.1,20190427.0000000,58600
"       (1989 AZ)",1.647427857675706,.4687076045282406,11.78687251075866,295.5164536570757,111.9630506497695,141.5744085913811,19.6,20190427.0000000,58600
"       (1990 UN)",1.709865162751567,.5280628858670434,3.684232740279844,8.467996167120713,97.00218625387181,336.3187318855389,23.5,19901027.0000000,48191
"       (1990 UP)",1.329799374273573,.1707135443965279,28.21934428973591,33.20341913455334,294.2243326837354,259.859643072745,20.4,20190427.0000000,58600
"       (1991 BA)",2.187712559985852,.6730255157297486,1.937552515200838,118.8801070986714,70.68682053485537,346.8238256847239,28.6,19910118.0000000,48274
"       (1991 GO)",1.925474179824372,.6547147624359337,9.552671543202493,24.09202817575946,89.61986816928217,197.3217347945861,20.0,20190427.0000000,58600
"       (1991 JR)",1.405706233823012,.2609650565290499,10.1443441689445,60.22692493401991,206.9996952548825,339.2765332811489,23.4,19910512.0000000,48388
"       (1991 TF3)",2.232445135476067,.5695127931822559,14.87313271244476,6.121603112194398,303.9752774817989,111.8492970407414,19.2,20190427.0000000,58600
"       (1991 TT)",1.194022575613512,.1609747666516189,14.78793857844062,192.5202855210808,217.6915678764581,334.171446537798,26.0,19911008.0000000,48537
"       (1991 TU)",1.420735843426077,.3344269129372572,7.733662207388833,193.5510765489436,220.621271570458,339.9647986379525,28.4,19911007.0000000,48536
"       (1991 VA)",1.438917566222381,.3571435574483908,6.60387722952647,37.65237762911474,313.3299275494717,24.28399140739408,26.5,19911105.0000000,48565
"       (1991 VG)",1.032311564018629,.05253497902788531,1.429908754233189,71.26699416761866,26.83638458890033,91.18870236518256,28.3,20190427.0000000,58600
"       (1991 XA)",2.26641541405382,.5678585855138963,5.248037986499639,77.2426948442412,308.4176762036574,11.95993407308945,23.7,19911207.0000000,48597
"       (1991 XB)",2.952306505445887,.5865272397909579,16.33101841626519,250.2920747410387,172.7080170344306,151.5168452694491,18.8,20190427.0000000,58600
"       (1992 BC)",1.421440492575397,.3521953393721175,14.34594507099942,123.347494395093,77.22878204801042,349.6408697946216,19.8,20190427.0000000,58600
"       (1992 DU)",1.158570023434672,.1741935581745358,24.99112996038586,337.9977344453335,121.4697767329329,43.79766058696816,25.3,19920228.0000000,48680
"       (1992 JD)",1.036161147009541,.03144521469198792,13.5653553822447,222.4316617144435,290.2579184627297,288.9945510056673,25.0,20190427.0000000,58600
"       (1992 SZ)",2.17795894659812,.458104556033205,9.284150189426404,4.170116504037016,314.9562884341483,112.5270541875585,20.1,20190427.0000000,58600
"       (1992 YD3)",1.165079899568942,.1365366057199912,27.32843715196251,274.3533024471308,172.3799277729603,5.811011049931696,26.4,19921227.0000000,48983
"       (1993 BD3)",1.635851582288549,.3754149624309116,.8896105188295931,314.0284621236152,168.3892874697885,3.013106099110762,26.2,19930129.0000000,49016
"       (1993 BU3)",2.407811306247321,.5127597675259448,5.287598265758693,316.1872666958088,144.2807456869592,19.09533440385917,21.5,20190427.0000000,58600
"       (1993 DA)",.9360246172866904,.09285943472442064,12.3850020102427,329.0446866391293,354.061195162286,161.7319221547272,26.4,20190427.0000000,58600
"       (1993 FA1)",1.426466972566696,.2890171342100115,20.45750637078046,187.3885465298481,343.4542980575966,10.08882146705944,25.9,19930330.0000000,49076
"       (1993 HC)",1.988626404968811,.5089393489374959,9.420668025412974,201.1142191652291,306.7939887115909,118.6683919055311,20.6,20190427.0000000,58600
"       (1993 HP1)",2.00061037932295,.5138461348260945,8.02344627272389,37.0669658482111,151.7051538585082,7.933408773345432,27.1,19930427.0000000,49104
"       (1993 KA)",1.25547487891061,.1975954368024753,6.047187701412643,235.7874140247035,342.061499474723,171.5813420012234,26.0,20190427.0000000,58600
"       (1993 KA2)",2.223810320680121,.7743438431780993,3.18344803048309,239.6280972939555,261.3037619712634,14.09206061455595,29.0,19930522.0000000,49129
"       (1993 TZ)",2.016613913978437,.5661190190926023,4.152473003866486,203.3080598335573,231.9459663789766,304.5337310832023,26.0,20190427.0000000,58600
"       (1993 UA)",2.010760213004439,.5233982066510726,4.647439871313847,26.82361812025257,330.1867280662819,326.3271072047037,25.4,20190427.0000000,58600
"       (1993 UD)",1.319877716424724,.1946226341071618,22.79175398402518,25.0398051148755,254.8719172134817,29.53933915273005,20.0,20190427.0000000,58600
"       (1994 BB)",2.021220261886335,.4269321541257032,1.141473660678664,122.6305164783794,335.9685154533098,291.4885981950102,23.5,20190427.0000000,58600
"       (1994 CJ1)",1.490502959378935,.3254096546243092,2.30683056564896,172.0628784759226,65.2668351411633,252.6847567021028,21.4,20190427.0000000,58600
"       (1994 EK)",2.149665750943899,.639371664499895,6.041191355523214,332.9322356567902,99.36596937775647,14.52357253441345,20.3,20190427.0000000,58600
